time,CO2,temp,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
04/07/2021 21:00,447.8,27.77,48.09,81.986,63.7,54.9 °F,74,South,2.8,2.9 mph,29.83 in,0.00 in,0.17 in,0,13.2 w/m²
04/07/2021 21:05,461.2,27.85,48.87,82.13,63.6,56.3 °F,77,South,6.6,7.0 mph,29.83 in,0.00 in,0.17 in,0,8.1 w/m²
04/07/2021 21:10,477.8,27.93,49.36,82.274,63.4,56.4 °F,78,South,4.5,4.8 mph,29.83 in,0.00 in,0.17 in,0,7.6 w/m²
04/07/2021 21:15,525.1,28.06,49.86,82.508,63.1,56.4 °F,79,South,5.6,6.0 mph,29.84 in,0.00 in,0.17 in,0,4 w/m²
04/07/2021 21:20,589.6,28.24,50.16,82.832,62.6,56.5 °F,81,South,5.3,5.6 mph,29.84 in,0.00 in,0.17 in,0,1.6 w/m²
04/07/2021 21:25,671.4,28.35,50.57,83.03,61.6,57.1 °F,85,SW,3.7,4.0 mph,29.84 in,0.00 in,0.17 in,0,1 w/m²
04/07/2021 21:30,749.9,28.49,51.11,83.282,61,57.5 °F,88,SSW,3.8,4.0 mph,29.84 in,0.00 in,0.17 in,0,1.2 w/m²
04/07/2021 21:35,810.1,28.63,51.48,83.534,60.6,57.3 °F,89,SSW,3.3,3.5 mph,29.84 in,0.00 in,0.17 in,0,1.1 w/m²
04/07/2021 21:40,852.8,28.7,51.72,83.66,60,56.8 °F,89,SW,3.6,3.9 mph,29.84 in,0.00 in,0.17 in,0,0.5 w/m²
04/07/2021 21:45,901.9,28.8,52.01,83.84,60.1,56.9 °F,89,South,2.3,2.4 mph,29.84 in,0.00 in,0.17 in,0,0 w/m²
04/07/2021 21:50,951.3,28.82,52.2,83.876,60.3,57.1 °F,89,South,2.1,2.1 mph,29.85 in,0.00 in,0.17 in,0,0 w/m²
04/07/2021 21:55,995.3,28.85,52.4,83.93,60.4,57.1 °F,89,SSW,4.4,4.6 mph,29.85 in,0.00 in,0.17 in,0,0 w/m²
04/07/2021 22:00,1023.1,28.91,52.7,84.038,60.3,56.9 °F,89,South,2.5,2.6 mph,29.84 in,0.00 in,0.17 in,0,0 w/m²
